No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
143771	ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428227	1301	PIN	NA	ROH	NA	14	S1_TIPM MEDIUM_ (APROB	4957512784		
143772	ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428219	1301	"COMP,26-WAY DL R BRD TO BRD"	NA	ROH	NA	52.2	S1_TIPM MEDIUM_ (APROB	4957512784		
143773	ZSCR	551	034-2	NA	A2C53428272T	NA	A2C53428272T	1342	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci TOP	NA	HALB	S.Real	1023.4	S1_TIPM LOGIC_ (APROBA	4957511411		
143774	ZSCR	551	034-2	NA	A2C31231300T	NA	A2C31231300T	1342	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	435.6	S1_TIPM MEDIUM_ (APROB	4957511264		
143775	ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428228	1301	PIN	NA	ROH	NA	33.2	S1_TIPM MEDIUM_ (APROB	4957512784		
143775	ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428229	1301	"PIN,TNG FORK (TALL)"	NA	ROH	NA	11.66	S1_TIPM MEDIUM_ (APROB	4957512784		
143776	ZSCR	551	034-2	NA	5WY9011M	NA	A2C31229200	1342	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	251.08	S1_TIPM MEDIUM_ (APROB	4957513324		
143776	ZSCR	551	034-2	NA	5WY9011M	NA	A2C53428227	1342	PIN	NA	ROH	NA	1.6	S1_TIPM MEDIUM_ (APROB	4957513324		
143776	ZSCR	551	034-2	NA	5WY9011M	NA	A2C53428228	1342	PIN	NA	ROH	NA	16.8	S1_TIPM MEDIUM_ (APROB	4957513324		
143776	ZSCR	551	034-2	NA	5WY9011M	NA	A2C53428229	1342	"PIN,TNG FORK (TALL)"	NA	ROH	NA	1.76	S1_TIPM MEDIUM_ (APROB	4957513324		
